"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_500_30_205c953044","crashed","-","molanu","","2020-12-03T17:39:50.000Z","107996","","30","20","0.01","0.005","0.005","0.05","0","D_500_30_20","100000","2","0.0001","1000","GRN_evolution","5","500","0.6926902337080001","1.425","0.1041457264095933","0.8858542735904067","0.7219999999999999","0.723","0","0","86","14"
"D_500_30_20bc18a280","crashed","-","molanu","","2020-12-03T17:30:37.000Z","107990","","30","20","0.01","0.005","0.005","0.05","0","D_500_30_20","100000","2","0.0001","1000","GRN_evolution","4","500","0.6759700995342222","0.577","0.15992952705810803","0.840070472941892","0.5352","0.5359999999999999","0","0","85","15"
"D_500_30_2065774f64","crashed","-","molanu","","2020-12-03T17:25:42.000Z","108001","","30","20","0.01","0.005","0.005","0.05","0","D_500_30_20","100000","2","0.0001","1000","GRN_evolution","3","500","0.32868201980492595","0.196","0.4179254921615902","0.5820745078384099","0.5606","0.561","0","0","100","0"
"D_500_30_20e6b8b195","crashed","-","molanu","","2020-12-03T17:19:11.000Z","107971","","30","20","0.01","0.005","0.005","0.05","0","D_500_30_20","100000","2","0.0001","1000","GRN_evolution","2","500","0.5613761749734815","0.241","0.2495615223030492","0.7504384776969508","0.4632","0.4684","0","0","100","0"
"D_500_30_20aa506877","crashed","-","molanu","","2020-12-03T17:04:56.000Z","107980","","30","20","0.01","0.005","0.005","0.05","0","D_500_30_20","100000","2","0.0001","1000","GRN_evolution","1","500","0.12641295438137037","0.185","0.6272459169902193","0.3727540830097807","0.4418","0.4592000000000001","0","0","92","8"
"D_500_30_102ee9a563","crashed","-","molanu","","2020-12-03T16:42:26.000Z","107988","","30","10","0.01","0.005","0.005","0.05","0","D_500_30_10","100000","2","0.0001","1000","GRN_evolution","5","500","0.7043467721099629","1.364","0.13912969287027033","0.8608703071297296","0.5568","0.5592000000000001","0","0","28","72"
"D_500_30_10cf35a3b9","crashed","-","molanu","","2020-12-03T16:38:37.000Z","107996","","30","10","0.01","0.005","0.005","0.05","0","D_500_30_10","100000","2","0.0001","1000","GRN_evolution","4","500","0.2422439182734074","0.075","0.4987852867554098","0.5012147132445902","0.37400000000000005","0.3774","0","0","100","0"
"D_500_30_109bc2f4d1","crashed","-","molanu","","2020-12-03T16:38:02.000Z","108008","","30","10","0.01","0.005","0.005","0.05","0","D_500_30_10","100000","2","0.0001","1000","GRN_evolution","3","500","0.3440608379583333","1.786","0.32232954982893813","0.6776704501710619","0.5412","0.543","40","0","60","0"
"D_500_30_10a818b755","crashed","-","molanu","","2020-12-03T16:33:33.000Z","108009","","30","10","0.01","0.005","0.005","0.05","0","D_500_30_10","100000","2","0.0001","1000","GRN_evolution","2","500","0.4350492921042963","0.176","0.31774091086261674","0.6822590891373832","0.3915999999999999","0.3928","1","0","99","0"
"D_500_30_101a36ee1c","crashed","-","molanu","","2020-12-03T16:32:56.000Z","108016","","30","10","0.01","0.005","0.005","0.05","0","D_500_30_10","100000","2","0.0001","1000","GRN_evolution","1","500","0.7479161802398149","0.624","0.09352572324081418","0.9064742767591858","0.4668000000000001","0.4824","0","0","6","94"
"D_500_20_5e40ca5d6","crashed","-","molanu","","2020-12-03T16:24:56.000Z","108004","","20","5","0.01","0.005","0.005","0.05","0","D_500_20_5","100000","2","0.0001","1000","GRN_evolution","5","500","0.799139611807125","0.634","0.2438800034745499","0.7561199965254503","0.2072","0.2132","0","0","4","96"
